Name,Type,Episodes,Studio,Tags,Rating,Release_year
Kuroko's Basketball 3,TV,25.0,Production I.G,"Shounen, Sports, Basketball, School Club, Tournaments, Based on a Manga",4.36,2015.0
BTS: We are Bulletproof - the Eternal,Music,,Studio Pivote,"Chibi, Korean Animation",4.36,2020.0
Haikyuu!! Movie 4: Battle of Concepts,Movie,,Production I.G,"Shounen, Sports, Recap, School Club, Tournaments, Volleyball, Based on a Manga",4.36,2017.0
Dr. Stone,TV,24.0,8 Pan,"Adventure, Comedy, Sci Fi, Shounen, Person in a Strange World, Post-apocalyptic, Prehistoric, Survival, Based on a Manga",4.36,2019.0
Attack on Titan: No Regrets,OVA,2.0,WIT Studio,"Action, Fantasy, Shoujo, Dark Fantasy, Isolated Society, Military, Outside World, Post-apocalyptic, Based on a Manga, Cannibalism,, Explicit Violence",4.36,2014.0
Horimiya,TV,13.0,CloverWorks,"Comedy, Romance, Shounen, Romantic Comedy, School Life, Based on a Manga",4.36,2021.0
Cowboy Bebop,TV,26.0,Sunrise,"Action, Adventure, Drama, Sci Fi, Bounty Hunters, Episodic, Noir, Outer Space, Western, Original Work, Drug Use,, Mature Themes,, Nudity,, Violence",4.36,1998.0
Hotarubi no Mori e,Movie,,Brain's Base,"Drama, Romance, Shoujo, Coming of Age, Forest, Japanese Mythology, Loneliness, Melancholy, Supernatural, Youkai, Based on a Manga",4.36,2011.0
The Disastrous Life of Saiki K. 2nd Season,TV,24.0,J.C.Staff,"Comedy, Shounen, Slice of Life, Breaking the Fourth Wall, Gag, Psychic Powers, School Life, Supernatural, Superpowers, Based on a Manga",4.36,2018.0
Monogatari Series: Second Season,TV,26.0,SHAFT,"Action, Comedy, Drama, Ecchi, Mystery, Romance, Supernatural, Tsundere, Based on a Light Novel, Explicit Violence",4.36,2013.0
Castlevania Season 4,Web,10.0,Tiger Animation,"Action, Adventure, Drama, Horror, 15th Century, Europe, Historical, Magic, Medieval, Supernatural, Vampires, Based on a Video Game, Animal Abuse,, Explicit Violence,, Mature Themes,, Suicide",4.35,2021.0
Doukyuusei,Movie,,A-1 Pictures,"BL, Drama, Romance, Shounen-ai, All-Boys School, LGBT Themes, Opposites Attract, School Life, Based on a Manga",4.35,2016.0
ERASED,TV,12.0,A-1 Pictures,"Drama, Mystery, Seinen, Age Transformation, Crime, Death of a Loved One, Dysfunctional Families, Melancholy, noitaminA, Serial Killers, Supernatural, Thriller, Time Travel, Based on a Manga, Animal Abuse,, Mature Themes,, Physical Abuse,, Domestic Abuse",4.35,2016.0
The Rising of the Shield Hero,TV,25.0,Kinema Citrus,"Action, Adventure, Drama, Fantasy, Seinen, Animal Characteristics, Betrayal, Dark Fantasy, Demons, Framed for a Crime, Isekai, Monsters, Person in a Strange World, RPG, Summoned Into Another World, Based on a Light Novel, Violence",4.35,2019.0
To Your Eternity,TV,20.0,Brain's Base,"Adventure, Drama, Fantasy, Shounen, Animal Transformation, Melancholy, Non-Human Protagonists, Supernatural, Survival, Based on a Manga, Violence",4.35,2021.0
Hajime no Ippo: Rising,TV,25.0,MADHOUSE,"Action, Drama, Shounen, Sports, Boxing, Hand to Hand Combat, Based on a Manga",4.35,2013.0
"Josee, the Tiger and the Fish",Movie,,Bones,"Drama, Romance, Disability, Based on a Novel",4.35,2020.0
Made in Abyss,TV,13.0,Kinema Citrus,"Adventure, Drama, Fantasy, Mystery, Sci Fi, Seinen, Androids, Curse, Dark Fantasy, Melancholy, Non-Human Protagonists, Orphans, Outside World, Psychological, Robots, Based on a Manga, Explicit Violence",4.35,2017.0
Rurouni Kenshin: Tsuiokuhen,OVA,4.0,Studio DEEN,"Drama, Romance, 19th Century, Feudal Japan, Historical, Melancholy, Samurai, Star-Crossed Lovers, Swordplay, Based on a Manga, Violence",4.35,1999.0
Descending Stories: Shouwa Genroku Rakugo Shinjuu,TV,12.0,Studio DEEN,"Drama, Josei, Adult Couples, Animeism, Apprenticeship, Historical, Rakugo, Based on a Manga",4.35,2017.0
Haikyuu!! Movie 3: Talent and Sense,Movie,,Production I.G,"Shounen, Sports, Recap, School Club, School Life, Tournaments, Volleyball, Based on a Manga",4.35,2017.0
Mo Dao Zu Shi Q,Web,30.0,B.C MAY PICTURES,"Comedy, Ancient China, Chibi, Chinese Animation, Episodic, Historical, Short Episodes",4.34,2020.0
Natsume's Book of Friends Season 2,TV,13.0,Brain's Base,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.34,2009.0
Made in Abyss Movie: Dawn of the Deep Soul,Movie,,Kinema Citrus,"Adventure, Fantasy, Horror, Mystery, Sci Fi, Seinen, Curse, Dark Fantasy, Human Experimentation, Non-Human Protagonists, Orphans, Outside World, Robots, Based on a Manga, Explicit Violence,, Nudity",4.34,2020.0
Fruits Basket 1st Season,TV,25.0,TMS Entertainment,"Comedy, Drama, Fantasy, Romance, Shoujo, Animal Transformation, Contemporary Fantasy, Curse, Death of a Loved One, Dysfunctional Families, Love Triangle, Orphans, Slapstick, Based on a Manga, Bullying,, Emotional Abuse,, Mature Themes,, Physical Abuse",4.34,2019.0
Kizumonogatari Part 3: Reiketsu,Movie,,SHAFT,"Action, Drama, Ecchi, Psychological, Supernatural, Vampires, Based on a Light Novel, Explicit Violence,, Nudity",4.34,2017.0
Dr. Stone: Stone Wars,TV,11.0,8 Pan,"Adventure, Comedy, Sci Fi, Shounen, Person in a Strange World, Post-apocalyptic, Prehistoric, Survival, Based on a Manga",4.34,2021.0
My Hero Academia 4,TV,25.0,Bones,"Action, Drama, Sci Fi, Shounen, Superheroes, Superpowers, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Violence",4.34,2019.0
Owarimonogatari II,TV Sp,,SHAFT,"Drama, Mystery, Romance, Supernatural, Based on a Light Novel, Violence",4.34,2017.0
Great Teacher Onizuka,TV,43.0,Pierrot,"Comedy, Drama, Shounen, Delinquents, School Life, Slapstick, Teaching, Work Life, Based on a Manga, Bullying,, Emotional Abuse",4.33,1999.0
Your lie in April,TV,22.0,A-1 Pictures,"Drama, Romance, Shounen, Classical Music, Illness, Melancholy, Mental Illness, Music, noitaminA, Psychological, School Life, Tournaments, Unrequited Love, Based on a Manga, Mature Themes,, Physical Abuse,, Domestic Abuse",4.33,2014.0
Bungo Stray Dogs 3rd Season,TV,12.0,Bones,"Action, Mystery, Seinen, Supernatural, Superpowers, Based on a Manga, Mature Themes,, Suicide,, Violence",4.33,2019.0
Kamisama Kiss 2nd Season,TV,12.0,TMS Entertainment,"Comedy, Fantasy, Romance, Shoujo, Animal Characteristics, Interspecies Relationship, Japanese Mythology, Master-Servant Relationship, Non-Human Protagonists, Based on a Manga",4.33,2015.0
Violet Evergarden: Eternity and the Auto Memory Doll,Movie,,Kyoto Animation,"Drama, Melancholy, Based on a Light Novel",4.33,2019.0
Mob Psycho 100,TV,12.0,Bones,"Action, Comedy, Exorcists, Overpowered Main Characters, Psychic Powers, Psychological, School Life, Supernatural, Superpowers, Based on a Manga, Violence",4.33,2016.0
Natsume's Book of Friends Season 6 Specials,DVD S,,Shuka,"Drama, Fantasy, Shoujo, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.33,2017.0
Kuroko's Basketball 2,TV,25.0,Production I.G,"Shounen, Sports, Basketball, School Club, Tournaments, Based on a Manga",4.33,2013.0
Natsume's Book of Friends Movie: Ephemeral Bond,Movie,,Shuka,"Drama, Fantasy, Shoujo, Bodyguards, Cats, Countryside, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.33,2018.0
Odd Taxi,TV,13.0,P.I.C.S.,"Drama, Mystery, Animal Protagonists, Anthropomorphic, Non-Human Protagonists, Psychological, Social Media, Original Work, Violence",4.32,2021.0
The Legend of Hei,Movie,,,"Action, Adventure, Fantasy, Animal Characteristics, Animal Transformation, Cats, Chinese Animation, Contemporary Fantasy, Family Friendly, Non-Human Protagonists, Urban Fantasy",4.32,2019.0
Death Note,TV,37.0,MADHOUSE,"Mystery, Shounen, Crime, Criminals, Detectives, Mind Games, Overpowered Main Characters, Psychological, Psychopaths, Rivalries, Secret Identity, Serial Killers, Shinigami, Supernatural, Thriller, Vigilantes, Based on a Manga",4.32,2006.0
Moriarty the Patriot 2nd Season,TV,13.0,Production I.G,"Mystery, Shounen, 19th Century, Detectives, England, Europe, Historical, Sherlock Holmes, Based on a Manga, Violence",4.32,2021.0
Fate/stay night: Heaven's Feel III. spring song,Movie,,ufotable,"Action, Fantasy, Romance, Magic, Superpowers, Based on an Eroge, Based on a Visual Novel, Mature Themes,, Suicide,, Violence",4.32,2020.0
One Piece Movie 14: Stampede,Movie,,Toei Animation,"Action, Adventure, Shounen, Pirates, Superpowers, Based on a Manga",4.32,2019.0
Kingdom 3,TV,26.0,St. Signpost,"Action, Drama, Seinen, Ancient China, Historical, Political, War, Based on a Manga",4.32,2020.0
One Piece,TV,100.0,Toei Animation,"Action, Adventure, Comedy, Fantasy, Shounen, Pirates, Superpowers, Based on a Manga",4.32,1999.0
Mushishi: Hihamukage,TV Sp,,Artland,"Fantasy, Seinen, Countryside, Illness, Supernatural, Based on a Manga",4.32,2014.0
Tokyo Revengers,TV,24.0,LIDEN FILMS,"Action, Drama, Shounen, Delinquents, Gangs, Time Travel, Based on a Manga, Mature Themes,, Suicide,, Violence",4.31,2021.0
My Hero Academia Movie 2: Heroes:Rising,Movie,,Bones,"Action, Sci Fi, Shounen, Superheroes, Superpowers, Based on a Manga",4.31,2019.0
Fate/Zero 2,TV,12.0,ufotable,"Action, Fantasy, Contemporary Fantasy, Magic, Proxy Battles, Rivalries, Superpowers, Urban Fantasy, Based on a Light Novel, Violence",4.31,2012.0
